cid,character,movement_type,trust_status,src_slot,dst_slot,animation_hex,distance_f4,distance_f8,distance_f12,distance_f16,total_distance,earliest_return_or_guard_frame,earliest_attack_cancel_frame,earliest_stance_return_frame,earliest_unresolved_recovery_frame,recovery_trust_status,recovery_trust_confidence,target_character,target_bank_kind,route_resolution_status,trust_score,trust_reason,recovery_status,caveat
009,Hwang,forward_diagonal,unresolved,447,448,02DE,0.33400001586414874,0.5110000242711976,0.8030000381404534,1.1360000539571047,,,,,,unknown_from_static_bytecode,unknown,Hwang,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00b,Ivy,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
00b,Ivy,backstep_candidate,unresolved,261,262,0272,0.24600001168437302,0.6430000305408612,0.9880000469274819,1.159000055049546,,,,,,unknown_from_static_bytecode,unknown,Ivy,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00b,Ivy,forward_diagonal,unresolved,357,359,0100,0.06600000313483179,0.20300247268134453,0.39304581752677115,0.6209315877178866,,,,,,unknown_from_static_bytecode,unknown,Ivy,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00b,Ivy,sidestep_up_candidate,unresolved,261,266,023C,0.006000000284984708,0.019000000902451575,0.027000001282431185,0.03800000180490315,,,,,,unknown_from_static_bytecode,unknown,Ivy,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00c,Kilik,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
00c,Kilik,backstep_candidate,unresolved,272,275,0154,0.10500000498723239,0.308000014629215,0.4190000199014321,0.4760000226087868,,,,,,unknown_from_static_bytecode,unknown,Kilik,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00c,Kilik,forward_diagonal,unresolved,337,339,020F,0.7047269309301792,0.6105874510794629,0.5249324015301646,0.9776630763194982,,,,,,unknown_from_static_bytecode,unknown,Kilik,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00c,Kilik,forward_step_candidate,unresolved,382,385,014D,0.10100000479724258,0.14900000707712024,0.17900000850204378,0.21000000997446477,,,,,,unknown_from_static_bytecode,unknown,Kilik,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00f,Yoshimitsu,back_diagonal,unresolved,545,544,0235,0.049000002327375114,0.049000002327375114,0.049000002327375114,0.049000002327375114,,,,,,unknown_from_static_bytecode,unknown,Yoshimitsu,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00f,Yoshimitsu,backstep_candidate,unresolved,257,258,00AD,0.06800000322982669,0.20800000987946987,0.4130000196164474,0.5410000256961212,,,,,,unknown_from_static_bytecode,unknown,Yoshimitsu,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
00f,Yoshimitsu,sidestep_up_candidate,unresolved,329,319,0162,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unresolved_static_data,Yoshimitsu,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
011,Nightmare,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
011,Nightmare,forward_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
011,Nightmare,sidestep_up_candidate,unresolved,272,274,02C4,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Nightmare,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
012,Astaroth,backstep_candidate,unresolved,265,266,001F,0.0010000000474974513,0.007000000332482159,0.03800000180490315,0.10700000508222729,,,,,,unknown_from_static_bytecode,unknown,Astaroth,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
012,Astaroth,forward_diagonal,unresolved,372,373,0012,0.09900000470224768,0.35000001662410796,0.7720000366680324,1.405000066733919,,,,,,unknown_from_static_bytecode,unknown,Astaroth,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
012,Astaroth,forward_step_candidate,unresolved,276,284,0014,0.0800000037997961,0.21600001025944948,0.4170000198064372,0.6190000294009224,,,,,,unknown_from_static_bytecode,unknown,Astaroth,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
012,Astaroth,sidestep_up_candidate,unresolved,337,338,002A,0.02300000109244138,0.058000002754852176,0.08500000403728336,0.08900000422727317,,,,,,unknown_from_static_bytecode,unknown,Astaroth,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
014,Cervantes,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
014,Cervantes,forward_step_candidate,unresolved,265,268,0273,0.14900000707712024,0.3330000158166513,0.5810000275960192,0.698000033153221,,,,,,unknown_from_static_bytecode,unknown,Cervantes,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
014,Cervantes,sidestep_up_candidate,unresolved,418,419,0018,0.02400000113993883,0.04800000227987766,0.03600000170990825,0.00800000037997961,,,,,,unknown_from_static_bytecode,unknown,Cervantes,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
015,Raphael,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
015,Raphael,backstep_candidate,unresolved,257,258,007A,0.08300000394228846,0.22500001068692654,0.3290000156266615,0.39300001866649836,,,,,,unknown_from_static_bytecode,unknown,Raphael,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
016,Talim,backstep_candidate,unresolved,256,257,01B8,0.05200000246986747,0.12700000603217632,0.3570000169565901,0.740000035148114,,,,,,unknown_from_static_bytecode,unknown,Talim,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
016,Talim,forward_step_candidate,unresolved,257,258,0177,0.04800000227987766,0.26600001263432205,0.5210000247461721,0.7240000343881547,,,,,,unknown_from_static_bytecode,unknown,Talim,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
016,Talim,sidestep_up_candidate,unresolved,281,284,0094,0.04000000189989805,0.09500000451225787,0.12300000584218651,0.08600000408478081,,,,,,unknown_from_static_bytecode,unknown,Talim,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
017,Cassandra,back_diagonal,unresolved,3118,325,04C1,0.3352879518848496,0.3791477464733274,0.40397155283819614,0.37448232711544677,,,,,,unknown_from_static_bytecode,unknown,Cassandra,local,resolved_local,148,cell index is outside this KHD bank; shared/common cell semantics are not resolved,unknown_from_static_bytecode,cell index is outside this KHD bank; shared/common cell semantics are not resolved
017,Cassandra,backstep_candidate,unresolved,264,265,04B0,0.1830000086920336,0.35400001681409776,0.5480000260286033,0.8450000401353464,,,,,,unknown_from_static_bytecode,unknown,Cassandra,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
017,Cassandra,forward_diagonal,unresolved,362,363,0544,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Cassandra,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
017,Cassandra,forward_step_candidate,unresolved,285,286,043F,0.3450000163866207,0.6650000315858051,1.068000050727278,1.2980000616516918,,,,,,unknown_from_static_bytecode,unknown,Cassandra,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
022,Setsuka,backstep_candidate,unresolved,317,318,05E9,0.09600000455975533,0.17300000821705908,0.45900002180133015,0.9210000437451527,,,,,,unknown_from_static_bytecode,unknown,Setsuka,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
022,Setsuka,forward_step_candidate,unresolved,312,313,059E,0.04000000189989805,0.10000000474974513,0.3410000161966309,0.6990000332007185,,,,,,unknown_from_static_bytecode,unknown,Setsuka,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
023,Tira,back_diagonal,unresolved,358,360,002A,0.04110961153479061,0.20199258371506393,0.38637418933116424,0.5860546328005181,,,,,,unknown_from_static_bytecode,unknown,Tira,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
023,Tira,backstep_candidate,unresolved,257,258,0231,0.04000000189989805,0.12300000584218651,0.25800001225434244,0.43200002051889896,,,,,,unknown_from_static_bytecode,unknown,Tira,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
023,Tira,forward_diagonal,unresolved,358,361,0314,0.10089599083733769,0.12254387551623494,0.15326448457300965,0.2507987359919892,,,,,,unknown_from_static_bytecode,unknown,Tira,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
023,Tira,forward_step_candidate,unresolved,295,296,0215,0.13900000660214573,0.2360000112093985,0.35400001681409776,0.472000022418797,,,,,,unknown_from_static_bytecode,unknown,Tira,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
023,Tira,sidestep_up_candidate,unresolved,305,307,0251,0.021000000997446477,0.027000001282431185,0.041000001947395504,0.029000001377426088,,,,,,unknown_from_static_bytecode,unknown,Tira,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
024,Zasalamel,backstep_candidate,unresolved,1945,1579,1491,,,,,,,,,,unknown_from_static_bytecode,unknown,Zasalamel,move_bucket_2,resolved_move_bucket,113,root motion did not decode with high confidence,unknown_from_static_bytecode,root motion did not decode with high confidence
024,Zasalamel,forward_diagonal,unresolved,432,433,0150,0.32109968825031526,0.6974131101464158,0.8741590659546674,0.9166008290475381,,,,,,unknown_from_static_bytecode,unknown,Zasalamel,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,forward_step_candidate,unresolved,264,265,013B,0.027000001282431185,0.08700000413227826,0.144000006839633,0.12900000612717122,,,,,,unknown_from_static_bytecode,unknown,Zasalamel,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
024,Zasalamel,sidestep_up_candidate,unresolved,264,267,01D6,0.0780000037048012,0.08200000389479101,0.08200000389479101,0.08200000389479101,,,,,,unknown_from_static_bytecode,unknown,Zasalamel,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
028,Hilde,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
028,Hilde,backstep_candidate,unresolved,292,293,072A,0.31900001515168697,0.6500000308733433,0.7620000361930579,0.7010000332957134,,,,,,unknown_from_static_bytecode,unknown,Hilde,local,resolved_local,155,offensive cell: damage-bearing Mid cell has invalid active window 999-999,unknown_from_static_bytecode,offensive cell: damage-bearing Mid cell has invalid active window 999-999
028,Hilde,forward_diagonal,unresolved,353,355,070C,0.1531012809439574,0.3286959237096568,0.5097891963230987,0.7291982244298465,,,,,,unknown_from_static_bytecode,unknown,Hilde,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
028,Hilde,forward_step_candidate,unresolved,292,295,072C,0.03000000142492354,0.1540000073146075,0.3980000189039856,0.6800000322982669,,,8,,,attack_followup_only,confirmed_static_data,Hilde,local,resolved_local,155,offensive cell: damage-bearing Mid cell has invalid active window 999-999,estimated_from_static_frame_edges,offensive cell: damage-bearing Mid cell has invalid active window 999-999
028,Hilde,sidestep_up_candidate,unresolved,333,334,0649,0.05300000251736492,0.019000000902451575,0.10200000484474003,0.12000000569969416,,,,,,unknown_from_static_bytecode,unknown,Hilde,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
030,Amy,back_diagonal,unresolved,419,428,0557,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Amy,local,resolved_local,148,cell index is outside this KHD bank; shared/common cell semantics are not resolved,unknown_from_static_bytecode,cell index is outside this KHD bank; shared/common cell semantics are not resolved
030,Amy,forward_diagonal,unresolved,338,341,054C,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Amy,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
030,Amy,sidestep_up_candidate,unresolved,257,269,01E8,0.07000000332482159,0.09500000451225787,0.011000000522471964,0.00800000037997961,,,,,,unknown_from_static_bytecode,unknown,Amy,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
060,2B,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
060,2B,backstep_candidate,unresolved,257,258,035E,0.06600000313483179,0.22500001068692654,0.421000019996427,0.4130000196164474,,,,,,unknown_from_static_bytecode,unknown,2B,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
060,2B,forward_diagonal,unresolved,3070,603,0494,0.11047624703714737,0.25109760251629,0.47400424190449525,0.625447869258967,,,,,,unknown_from_static_bytecode,unknown,2B,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
060,2B,forward_step_candidate,unresolved,260,269,0438,0.13400000636465847,0.33800001605413854,0.6170000293059275,0.9270000440301374,,,,,,unknown_from_static_bytecode,unknown,2B,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
061,Haohmaru,back_diagonal,unresolved,482,519,0025,0.11921829285039516,0.34438352351179013,0.6892206070083473,1.0480019581726285,,,,,,unknown_from_static_bytecode,unknown,Haohmaru,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
061,Haohmaru,forward_diagonal,unresolved,561,562,0017,0.16022484962922948,0.33224390210522686,0.7278908230845307,1.0490805996435844,,,,,,unknown_from_static_bytecode,unknown,Haohmaru,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
061,Haohmaru,forward_step_candidate,unresolved,265,268,001E,0.1810000085970387,0.17300000821705908,0.0,0.21100001002196223,,,,,,unknown_from_static_bytecode,unknown,Haohmaru,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
061,Haohmaru,sidestep_up_candidate,unresolved,555,556,0114,0.003000000142492354,0.003000000142492354,0.003000000142492354,0.0010000000474974513,,,,,,unknown_from_static_bytecode,unknown,Haohmaru,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
062,Groh,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
062,Groh,backstep_candidate,unresolved,260,261,0332,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Groh,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
062,Groh,forward_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
062,Groh,forward_step_candidate,unresolved,263,336,0355,0.05300000251736492,0.03600000170990825,0.050000002374872565,0.08300000394228846,,,,,,unknown_from_static_bytecode,unknown,Groh,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
062,Groh,sidestep_up_candidate,unresolved,263,340,0354,0.04500000213738531,0.009000000427477062,0.021000000997446477,0.020000000949949026,,,,,,unknown_from_static_bytecode,unknown,Groh,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
064,Azwel,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
064,Azwel,backstep_candidate,unresolved,256,259,0338,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Azwel,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
064,Azwel,forward_diagonal,unresolved,2937,483,053B,0.09400000446476042,0.21200001006945968,0.2380000113043934,0.17500000831205398,,,,,,unknown_from_static_bytecode,unknown,Azwel,local,resolved_local,148,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
064,Azwel,forward_step_candidate,unresolved,256,272,04A4,0.05900000280234963,0.20000000949949026,0.3570000169565901,0.5080000241287053,,,,,,unknown_from_static_bytecode,unknown,Azwel,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
064,Azwel,sidestep_up_candidate,unresolved,370,280,0365,0.0,0.0,0.0,0.0,,,,,,unknown_from_static_bytecode,unknown,Azwel,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
065,Geralt,back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
065,Geralt,backstep_candidate,unresolved,303,308,0420,0.33400001586414874,0.61600002925843,0.8670000411802903,1.1290000536246225,,,,,,unknown_from_static_bytecode,unknown,Geralt,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
065,Geralt,forward_step_candidate,unresolved,293,294,033B,0.11000000522471964,0.37300001771654934,0.6730000319657847,0.9760000463575125,,,,,,unknown_from_static_bytecode,unknown,Geralt,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
065,Geralt,sidestep_up_candidate,unresolved,297,298,0452,0.05200000246986747,0.0740000035148114,0.04400000208988786,0.02200000104494393,,,,,,unknown_from_static_bytecode,unknown,Geralt,local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
066,Unknown (cid 066),back_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
066,Unknown (cid 066),backstep_candidate,unresolved,257,258,0185,0.06300000299233943,0.15100000717211515,0.26000001234933734,0.3570000169565901,,,,,,unknown_from_static_bytecode,unknown,Unknown (cid 066),local,resolved_local,155,offensive cells exist and no static return/recovery frame is known,unknown_from_static_bytecode,offensive cells exist and no static return/recovery frame is known
066,Unknown (cid 066),forward_diagonal,unresolved,,,,,,,,,,,,,unknown_no_static_route,unknown,,unknown,unresolved_no_route,0,no direction-gated route found for this movement type,unknown_no_static_route,no direction-gated route found for this movement type
