section,character,movement_type,field,csv_value,rendered_value,status
trusted_basic_backsteps,Maxi,backstep_candidate,distance_f12,0.025,0.025,match
trusted_basic_backsteps,Maxi,backstep_candidate,distance_f16,0.011,0.011,match
trusted_basic_backsteps,Maxi,backstep_candidate,total_distance,0.069,0.069,match
trusted_basic_backsteps,Mitsurugi,backstep_candidate,distance_f4,0.027,0.027,match
trusted_basic_backsteps,Mitsurugi,backstep_candidate,distance_f8,0.048,0.048,match
trusted_basic_backsteps,Mitsurugi,backstep_candidate,distance_f12,0.127,0.127,match
trusted_basic_backsteps,Mitsurugi,backstep_candidate,distance_f16,0.167,0.167,match
trusted_basic_backsteps,Mitsurugi,backstep_candidate,total_distance,0.180,0.180,match
trusted_basic_backsteps,Cervantes,backstep_candidate,distance_f4,0.018,0.018,match
trusted_basic_backsteps,Cervantes,backstep_candidate,distance_f8,0.040,0.040,match
trusted_basic_backsteps,Cervantes,backstep_candidate,distance_f12,0.048,0.048,match
trusted_basic_backsteps,Cervantes,backstep_candidate,distance_f16,0.042,0.042,match
trusted_basic_backsteps,Cervantes,backstep_candidate,total_distance,0.089,0.089,match
trusted_basic_backsteps,Amy,backstep_candidate,distance_f4,0.000,0.000,match
trusted_basic_backsteps,Amy,backstep_candidate,distance_f8,0.000,0.000,match
trusted_basic_backsteps,Amy,backstep_candidate,distance_f12,0.000,0.000,match
trusted_basic_backsteps,Amy,backstep_candidate,distance_f16,0.000,0.000,match
trusted_basic_backsteps,Amy,backstep_candidate,total_distance,0.000,0.000,match
trusted_basic_backsteps,Haohmaru,backstep_candidate,distance_f4,0.000,0.000,match
trusted_basic_backsteps,Haohmaru,backstep_candidate,distance_f8,0.000,0.000,match
trusted_basic_backsteps,Haohmaru,backstep_candidate,distance_f12,0.000,0.000,match
trusted_basic_backsteps,Haohmaru,backstep_candidate,distance_f16,0.000,0.000,match
trusted_basic_backsteps,Haohmaru,backstep_candidate,total_distance,0.000,0.000,match
unranked_backsteps,Hilde,backstep_candidate,distance_f8,0.650,0.650,match
unranked_backsteps,Hilde,backstep_candidate,distance_f16,0.701,0.701,match
unranked_backsteps,Ivy,backstep_candidate,distance_f8,0.643,0.643,match
unranked_backsteps,Ivy,backstep_candidate,distance_f16,1.159,1.159,match
unranked_backsteps,Geralt,backstep_candidate,distance_f8,0.616,0.616,match
unranked_backsteps,Geralt,backstep_candidate,distance_f16,1.129,1.129,match
unranked_backsteps,Seong Mi-na,backstep_candidate,distance_f8,0.452,0.452,match
unranked_backsteps,Seong Mi-na,backstep_candidate,distance_f16,0.918,0.918,match
unranked_backsteps,Cassandra,backstep_candidate,distance_f8,0.354,0.354,match
unranked_backsteps,Cassandra,backstep_candidate,distance_f16,0.845,0.845,match
unranked_backsteps,Kilik,backstep_candidate,distance_f8,0.308,0.308,match
unranked_backsteps,Kilik,backstep_candidate,distance_f16,0.476,0.476,match
unranked_backsteps,Taki,backstep_candidate,distance_f8,0.258,0.258,match
unranked_backsteps,Taki,backstep_candidate,distance_f16,0.635,0.635,match
unranked_backsteps,Voldo,backstep_candidate,distance_f8,0.248,0.248,match
unranked_backsteps,Voldo,backstep_candidate,distance_f16,1.110,1.110,match
unranked_backsteps,2B,backstep_candidate,distance_f8,0.225,0.225,match
unranked_backsteps,2B,backstep_candidate,distance_f16,0.413,0.413,match
unranked_backsteps,Raphael,backstep_candidate,distance_f8,0.225,0.225,match
unranked_backsteps,Raphael,backstep_candidate,distance_f16,0.393,0.393,match
unranked_backsteps,Yoshimitsu,backstep_candidate,distance_f8,0.208,0.208,match
unranked_backsteps,Yoshimitsu,backstep_candidate,distance_f16,0.541,0.541,match
unranked_backsteps,Setsuka,backstep_candidate,distance_f8,0.173,0.173,match
unranked_backsteps,Setsuka,backstep_candidate,distance_f16,0.921,0.921,match
unranked_backsteps,Unknown (cid 066),backstep_candidate,distance_f8,0.151,0.151,match
unranked_backsteps,Unknown (cid 066),backstep_candidate,distance_f16,0.357,0.357,match
unranked_backsteps,Talim,backstep_candidate,distance_f8,0.127,0.127,match
unranked_backsteps,Talim,backstep_candidate,distance_f16,0.740,0.740,match
unranked_backsteps,Tira,backstep_candidate,distance_f8,0.123,0.123,match
unranked_backsteps,Tira,backstep_candidate,distance_f16,0.432,0.432,match
unranked_backsteps,Astaroth,backstep_candidate,distance_f8,0.007,0.007,match
unranked_backsteps,Astaroth,backstep_candidate,distance_f16,0.107,0.107,match
unranked_backsteps,Azwel,backstep_candidate,distance_f8,0.000,0.000,match
unranked_backsteps,Azwel,backstep_candidate,distance_f16,0.000,0.000,match
unranked_backsteps,Groh,backstep_candidate,distance_f8,0.000,0.000,match
unranked_backsteps,Groh,backstep_candidate,distance_f16,0.000,0.000,match
unranked_backsteps,Zasalamel,backstep_candidate,distance_f8,-,-,match
unranked_backsteps,Zasalamel,backstep_candidate,distance_f16,-,-,match
sidestep_read,Mitsurugi,sidestep_down_candidate,distance_f8,0.191,0.191,match
sidestep_read,Mitsurugi,sidestep_down_candidate,distance_f16,0.190,0.190,match
sidestep_read,Mitsurugi,sidestep_down_candidate,total_distance,0.197,0.197,match
sidestep_read,Nightmare,sidestep_down_candidate,distance_f8,0.099,0.099,match
sidestep_read,Nightmare,sidestep_down_candidate,distance_f16,0.138,0.138,match
sidestep_read,Nightmare,sidestep_down_candidate,total_distance,0.139,0.139,match
sidestep_read,Hwang,sidestep_up_candidate,distance_f8,0.089,0.089,match
sidestep_read,Hwang,sidestep_up_candidate,distance_f16,0.024,0.024,match
sidestep_read,Hwang,sidestep_up_candidate,total_distance,0.128,0.128,match
sidestep_read,Sophitia,sidestep_up_candidate,distance_f8,0.089,0.089,match
sidestep_read,Sophitia,sidestep_up_candidate,distance_f16,0.077,0.077,match
sidestep_read,Sophitia,sidestep_up_candidate,total_distance,0.090,0.090,match
sidestep_read,2B,sidestep_up_candidate,distance_f8,0.062,0.062,match
sidestep_read,2B,sidestep_up_candidate,distance_f16,0.014,0.014,match
sidestep_read,2B,sidestep_up_candidate,total_distance,0.080,0.080,match
sidestep_read,Xianghua,sidestep_up_candidate,distance_f8,0.061,0.061,match
sidestep_read,Xianghua,sidestep_up_candidate,distance_f16,0.174,0.174,match
sidestep_read,Xianghua,sidestep_up_candidate,total_distance,0.248,0.248,match
sidestep_read,Kilik,sidestep_down_candidate,distance_f8,0.044,0.044,match
sidestep_read,Kilik,sidestep_down_candidate,distance_f16,0.059,0.059,match
sidestep_read,Kilik,sidestep_down_candidate,total_distance,0.110,0.110,match
sidestep_read,Xianghua,sidestep_down_candidate,distance_f8,0.034,0.034,match
sidestep_read,Xianghua,sidestep_down_candidate,distance_f16,0.053,0.053,match
sidestep_read,Xianghua,sidestep_down_candidate,total_distance,0.056,0.056,match
sidestep_read,Ivy,sidestep_down_candidate,distance_f8,0.033,0.033,match
sidestep_read,Ivy,sidestep_down_candidate,distance_f16,0.019,0.019,match
sidestep_read,Ivy,sidestep_down_candidate,total_distance,0.081,0.081,match
sidestep_read,Haohmaru,sidestep_down_candidate,distance_f8,0.029,0.029,match
sidestep_read,Haohmaru,sidestep_down_candidate,distance_f16,0.096,0.096,match
sidestep_read,Haohmaru,sidestep_down_candidate,total_distance,0.111,0.111,match
sidestep_read,Cassandra,sidestep_up_candidate,distance_f8,0.028,0.028,match
sidestep_read,Cassandra,sidestep_up_candidate,distance_f16,0.003,0.003,match
sidestep_read,Cassandra,sidestep_up_candidate,total_distance,0.031,0.031,match
sidestep_read,Taki,sidestep_down_candidate,distance_f8,0.021,0.021,match
sidestep_read,Taki,sidestep_down_candidate,distance_f16,0.056,0.056,match
sidestep_read,Taki,sidestep_down_candidate,total_distance,0.080,0.080,match
sidestep_read,Amy,sidestep_down_candidate,distance_f8,0.018,0.018,match
sidestep_read,Amy,sidestep_down_candidate,distance_f16,0.041,0.041,match
sidestep_read,Amy,sidestep_down_candidate,total_distance,0.054,0.054,match
sidestep_read,Zasalamel,sidestep_down_candidate,distance_f8,0.016,0.016,match
sidestep_read,Zasalamel,sidestep_down_candidate,distance_f16,0.049,0.049,match
sidestep_read,Zasalamel,sidestep_down_candidate,total_distance,0.078,0.078,match
sidestep_read,Voldo,sidestep_down_candidate,distance_f8,0.015,0.015,match
sidestep_read,Voldo,sidestep_down_candidate,distance_f16,0.038,0.038,match
sidestep_read,Voldo,sidestep_down_candidate,total_distance,0.059,0.059,match
sidestep_read,2B,sidestep_down_candidate,distance_f8,0.014,0.014,match
sidestep_read,2B,sidestep_down_candidate,distance_f16,0.010,0.010,match
sidestep_read,2B,sidestep_down_candidate,total_distance,0.106,0.106,match
sidestep_read,Yoshimitsu,sidestep_down_candidate,distance_f8,0.013,0.013,match
sidestep_read,Yoshimitsu,sidestep_down_candidate,distance_f16,0.037,0.037,match
sidestep_read,Yoshimitsu,sidestep_down_candidate,total_distance,0.099,0.099,match
sidestep_read,Cassandra,sidestep_down_candidate,distance_f8,0.008,0.008,match
sidestep_read,Cassandra,sidestep_down_candidate,distance_f16,0.022,0.022,match
sidestep_read,Cassandra,sidestep_down_candidate,total_distance,0.040,0.040,match
sidestep_read,Maxi,sidestep_down_candidate,distance_f8,0.008,0.008,match
sidestep_read,Maxi,sidestep_down_candidate,distance_f16,0.023,0.023,match
sidestep_read,Maxi,sidestep_down_candidate,total_distance,0.040,0.040,match
sidestep_read,Sophitia,sidestep_down_candidate,distance_f8,0.008,0.008,match
sidestep_read,Sophitia,sidestep_down_candidate,distance_f16,0.022,0.022,match
sidestep_read,Sophitia,sidestep_down_candidate,total_distance,0.040,0.040,match
sidestep_read,Talim,sidestep_down_candidate,distance_f8,0.008,0.008,match
sidestep_read,Talim,sidestep_down_candidate,distance_f16,0.022,0.022,match
sidestep_read,Talim,sidestep_down_candidate,total_distance,0.047,0.047,match
sidestep_read,Unknown (cid 066),sidestep_down_candidate,distance_f8,0.008,0.008,match
sidestep_read,Unknown (cid 066),sidestep_down_candidate,distance_f16,0.022,0.022,match
sidestep_read,Unknown (cid 066),sidestep_down_candidate,total_distance,0.040,0.040,match
sidestep_read,Seong Mi-na,sidestep_down_candidate,distance_f8,0.007,0.007,match
sidestep_read,Seong Mi-na,sidestep_down_candidate,distance_f16,0.073,0.073,match
sidestep_read,Seong Mi-na,sidestep_down_candidate,total_distance,0.442,0.442,match
sidestep_read,Tira,sidestep_down_candidate,distance_f8,0.007,0.007,match
sidestep_read,Tira,sidestep_down_candidate,distance_f16,0.007,0.007,match
sidestep_read,Tira,sidestep_down_candidate,total_distance,0.040,0.040,match
sidestep_read,Astaroth,sidestep_down_candidate,distance_f8,0.003,0.003,match
sidestep_read,Astaroth,sidestep_down_candidate,distance_f16,0.012,0.012,match
sidestep_read,Astaroth,sidestep_down_candidate,total_distance,0.069,0.069,match
sidestep_read,Azwel,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Azwel,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Azwel,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Groh,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Groh,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Groh,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Hilde,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Hilde,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Hilde,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Hwang,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Hwang,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Hwang,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Raphael,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Raphael,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Raphael,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Raphael,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read,Raphael,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read,Raphael,sidestep_up_candidate,total_distance,0.058,0.058,match
sidestep_read,Setsuka,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read,Setsuka,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read,Setsuka,sidestep_up_candidate,total_distance,0.000,0.000,match
sidestep_read,Siegfried,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read,Siegfried,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read,Siegfried,sidestep_down_candidate,total_distance,0.000,0.000,match
sidestep_read,Voldo,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read,Voldo,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read,Voldo,sidestep_up_candidate,total_distance,0.000,0.000,match
sidestep_read_unranked,Unknown (cid 066),sidestep_up_candidate,distance_f8,0.418,0.418,match
sidestep_read_unranked,Unknown (cid 066),sidestep_up_candidate,distance_f16,0.492,0.492,match
sidestep_read_unranked,Amy,sidestep_up_candidate,distance_f8,0.095,0.095,match
sidestep_read_unranked,Amy,sidestep_up_candidate,distance_f16,0.008,0.008,match
sidestep_read_unranked,Talim,sidestep_up_candidate,distance_f8,0.095,0.095,match
sidestep_read_unranked,Talim,sidestep_up_candidate,distance_f16,0.086,0.086,match
sidestep_read_unranked,Zasalamel,sidestep_up_candidate,distance_f8,0.082,0.082,match
sidestep_read_unranked,Zasalamel,sidestep_up_candidate,distance_f16,0.082,0.082,match
sidestep_read_unranked,Geralt,sidestep_up_candidate,distance_f8,0.074,0.074,match
sidestep_read_unranked,Geralt,sidestep_up_candidate,distance_f16,0.022,0.022,match
sidestep_read_unranked,Astaroth,sidestep_up_candidate,distance_f8,0.058,0.058,match
sidestep_read_unranked,Astaroth,sidestep_up_candidate,distance_f16,0.089,0.089,match
sidestep_read_unranked,Cervantes,sidestep_up_candidate,distance_f8,0.048,0.048,match
sidestep_read_unranked,Cervantes,sidestep_up_candidate,distance_f16,0.008,0.008,match
sidestep_read_unranked,Tira,sidestep_up_candidate,distance_f8,0.027,0.027,match
sidestep_read_unranked,Tira,sidestep_up_candidate,distance_f16,0.029,0.029,match
sidestep_read_unranked,Maxi,sidestep_up_candidate,distance_f8,0.020,0.020,match
sidestep_read_unranked,Maxi,sidestep_up_candidate,distance_f16,0.187,0.187,match
sidestep_read_unranked,Hilde,sidestep_up_candidate,distance_f8,0.019,0.019,match
sidestep_read_unranked,Hilde,sidestep_up_candidate,distance_f16,0.120,0.120,match
sidestep_read_unranked,Ivy,sidestep_up_candidate,distance_f8,0.019,0.019,match
sidestep_read_unranked,Ivy,sidestep_up_candidate,distance_f16,0.038,0.038,match
sidestep_read_unranked,Mitsurugi,sidestep_up_candidate,distance_f8,0.013,0.013,match
sidestep_read_unranked,Mitsurugi,sidestep_up_candidate,distance_f16,0.054,0.054,match
sidestep_read_unranked,Groh,sidestep_up_candidate,distance_f8,0.009,0.009,match
sidestep_read_unranked,Groh,sidestep_up_candidate,distance_f16,0.020,0.020,match
sidestep_read_unranked,Setsuka,sidestep_down_candidate,distance_f8,0.009,0.009,match
sidestep_read_unranked,Setsuka,sidestep_down_candidate,distance_f16,0.025,0.025,match
sidestep_read_unranked,Taki,sidestep_up_candidate,distance_f8,0.007,0.007,match
sidestep_read_unranked,Taki,sidestep_up_candidate,distance_f16,0.163,0.163,match
sidestep_read_unranked,Haohmaru,sidestep_up_candidate,distance_f8,0.003,0.003,match
sidestep_read_unranked,Haohmaru,sidestep_up_candidate,distance_f16,0.001,0.001,match
sidestep_read_unranked,Azwel,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Azwel,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Cervantes,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Cervantes,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Geralt,sidestep_down_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Geralt,sidestep_down_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Kilik,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Kilik,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Nightmare,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Nightmare,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Seong Mi-na,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Seong Mi-na,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Siegfried,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Siegfried,sidestep_up_candidate,distance_f16,0.000,0.000,match
sidestep_read_unranked,Yoshimitsu,sidestep_up_candidate,distance_f8,0.000,0.000,match
sidestep_read_unranked,Yoshimitsu,sidestep_up_candidate,distance_f16,0.000,0.000,match
forward_movement_read,Nightmare,forward_step_candidate,distance_f8,0.658,0.658,match
forward_movement_read,Nightmare,forward_step_candidate,distance_f16,0.557,0.557,match
forward_movement_read,Nightmare,forward_step_candidate,total_distance,0.659,0.659,match
forward_movement_read,Sophitia,forward_step_candidate,distance_f8,0.502,0.502,match
forward_movement_read,Sophitia,forward_step_candidate,distance_f16,1.185,1.185,match
forward_movement_read,Sophitia,forward_step_candidate,total_distance,1.526,1.526,match
forward_movement_read,Xianghua,forward_step_candidate,distance_f8,0.392,0.392,match
forward_movement_read,Xianghua,forward_step_candidate,distance_f16,0.541,0.541,match
forward_movement_read,Xianghua,forward_step_candidate,total_distance,0.551,0.551,match
forward_movement_read,Yoshimitsu,forward_step_candidate,distance_f8,0.279,0.279,match
forward_movement_read,Yoshimitsu,forward_step_candidate,distance_f16,0.533,0.533,match
forward_movement_read,Yoshimitsu,forward_step_candidate,total_distance,1.020,1.020,match
forward_movement_read,Raphael,forward_step_candidate,distance_f8,0.120,0.120,match
forward_movement_read,Raphael,forward_step_candidate,distance_f16,0.307,0.307,match
forward_movement_read,Raphael,forward_step_candidate,total_distance,2.617,2.617,match
forward_movement_read,Voldo,forward_step_candidate,distance_f8,0.066,0.066,match
forward_movement_read,Voldo,forward_step_candidate,distance_f16,0.352,0.352,match
forward_movement_read,Voldo,forward_step_candidate,total_distance,1.746,1.746,match
forward_movement_read,Siegfried,forward_step_candidate,distance_f8,0.065,0.065,match
forward_movement_read,Siegfried,forward_step_candidate,distance_f16,0.136,0.136,match
forward_movement_read,Siegfried,forward_step_candidate,total_distance,0.500,0.500,match
forward_movement_read,Mitsurugi,forward_step_candidate,distance_f8,0.060,0.060,match
forward_movement_read,Mitsurugi,forward_step_candidate,distance_f16,0.028,0.028,match
forward_movement_read,Mitsurugi,forward_step_candidate,total_distance,0.278,0.278,match
forward_movement_read,Ivy,forward_step_candidate,distance_f8,0.010,0.010,match
forward_movement_read,Ivy,forward_step_candidate,distance_f16,0.062,0.062,match
forward_movement_read,Ivy,forward_step_candidate,total_distance,0.087,0.087,match
forward_movement_read,Hwang,forward_step_candidate,distance_f8,0.007,0.007,match
forward_movement_read,Hwang,forward_step_candidate,distance_f16,0.054,0.054,match
forward_movement_read,Hwang,forward_step_candidate,total_distance,0.078,0.078,match
forward_movement_read,Amy,forward_step_candidate,distance_f8,0.000,0.000,match
forward_movement_read,Amy,forward_step_candidate,distance_f16,0.000,0.000,match
forward_movement_read,Amy,forward_step_candidate,total_distance,0.000,0.000,match
forward_movement_read_unranked,Cassandra,forward_step_candidate,distance_f8,0.665,0.665,match
forward_movement_read_unranked,Cassandra,forward_step_candidate,distance_f16,1.298,1.298,match
forward_movement_read_unranked,Geralt,forward_step_candidate,distance_f8,0.373,0.373,match
forward_movement_read_unranked,Geralt,forward_step_candidate,distance_f16,0.976,0.976,match
forward_movement_read_unranked,2B,forward_step_candidate,distance_f8,0.338,0.338,match
forward_movement_read_unranked,2B,forward_step_candidate,distance_f16,0.927,0.927,match
forward_movement_read_unranked,Cervantes,forward_step_candidate,distance_f8,0.333,0.333,match
forward_movement_read_unranked,Cervantes,forward_step_candidate,distance_f16,0.698,0.698,match
forward_movement_read_unranked,Talim,forward_step_candidate,distance_f8,0.266,0.266,match
forward_movement_read_unranked,Talim,forward_step_candidate,distance_f16,0.724,0.724,match
forward_movement_read_unranked,Tira,forward_step_candidate,distance_f8,0.236,0.236,match
forward_movement_read_unranked,Tira,forward_step_candidate,distance_f16,0.472,0.472,match
forward_movement_read_unranked,Astaroth,forward_step_candidate,distance_f8,0.216,0.216,match
forward_movement_read_unranked,Astaroth,forward_step_candidate,distance_f16,0.619,0.619,match
forward_movement_read_unranked,Azwel,forward_step_candidate,distance_f8,0.200,0.200,match
forward_movement_read_unranked,Azwel,forward_step_candidate,distance_f16,0.508,0.508,match
forward_movement_read_unranked,Haohmaru,forward_step_candidate,distance_f8,0.173,0.173,match
forward_movement_read_unranked,Haohmaru,forward_step_candidate,distance_f16,0.211,0.211,match
forward_movement_read_unranked,Hilde,forward_step_candidate,distance_f8,0.154,0.154,match
forward_movement_read_unranked,Hilde,forward_step_candidate,distance_f16,0.680,0.680,match
forward_movement_read_unranked,Kilik,forward_step_candidate,distance_f8,0.149,0.149,match
forward_movement_read_unranked,Kilik,forward_step_candidate,distance_f16,0.210,0.210,match
forward_movement_read_unranked,Seong Mi-na,forward_step_candidate,distance_f8,0.124,0.124,match
forward_movement_read_unranked,Seong Mi-na,forward_step_candidate,distance_f16,0.225,0.225,match
forward_movement_read_unranked,Unknown (cid 066),forward_step_candidate,distance_f8,0.124,0.124,match
forward_movement_read_unranked,Unknown (cid 066),forward_step_candidate,distance_f16,0.485,0.485,match
forward_movement_read_unranked,Taki,forward_step_candidate,distance_f8,0.103,0.103,match
forward_movement_read_unranked,Taki,forward_step_candidate,distance_f16,0.447,0.447,match
forward_movement_read_unranked,Setsuka,forward_step_candidate,distance_f8,0.100,0.100,match
forward_movement_read_unranked,Setsuka,forward_step_candidate,distance_f16,0.699,0.699,match
forward_movement_read_unranked,Zasalamel,forward_step_candidate,distance_f8,0.087,0.087,match
forward_movement_read_unranked,Zasalamel,forward_step_candidate,distance_f16,0.129,0.129,match
forward_movement_read_unranked,Groh,forward_step_candidate,distance_f8,0.036,0.036,match
forward_movement_read_unranked,Groh,forward_step_candidate,distance_f16,0.083,0.083,match
forward_movement_read_unranked,Maxi,forward_step_candidate,distance_f8,0.000,0.000,match
forward_movement_read_unranked,Maxi,forward_step_candidate,distance_f16,0.000,0.000,match
