cid,character,route_kind,quality_status,quality_score,quality_grade,total_back_distance,back_distance_f4,back_distance_f8,back_distance_f12,back_distance_f16,first_frame_8_units,first_frame_16_units,first_frame_30_units,recovery_estimate_status,earliest_guard_or_neutral_frame,earliest_attack_cancel_frame,plain_movement,has_attack_cell,root_decode_confidence,src_slot,dst_slot,animation_hex,selection_reason,reason
00d,Xianghua,trusted_basic,rankable_static_distance,69.481,S,0.8260000392328948,0.3060000145342201,0.5620000266935676,0.6550000311108306,0.7050000334857032,,,,unknown_from_static_bytecode,,,True,False,high,402,511,0256,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
00f,Yoshimitsu,unresolved,unranked_static_distance_unavailable,,Unranked,,0.06800000322982669,0.20800000987946987,0.4130000196164474,0.5410000256961212,,,,unknown_from_static_bytecode,,,False,True,high,257,258,00AD,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
011,Nightmare,trusted_basic,rankable_static_distance,55.13,B,0.8190000389004126,0.026000001234933734,0.10400000493973494,0.23100001097191125,0.39900001895148307,,,,unknown_from_static_bytecode,,,True,False,high,256,263,012B,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
012,Astaroth,unresolved,unranked_static_distance_unavailable,,Unranked,,0.0010000000474974513,0.007000000332482159,0.03800000180490315,0.10700000508222729,,,,unknown_from_static_bytecode,,,False,True,high,265,266,001F,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
014,Cervantes,trusted_basic,rankable_static_distance,35.037,C,0.08900000422727317,0.018000000854954123,0.04000000189989805,0.04800000227987766,0.042000001994892955,,,,unknown_from_static_bytecode,,,True,False,high,398,400,01CF,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
015,Raphael,unresolved,unranked_static_distance_unavailable,,Unranked,,0.08300000394228846,0.22500001068692654,0.3290000156266615,0.39300001866649836,,,,unknown_from_static_bytecode,,,False,True,high,257,258,007A,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
016,Talim,unresolved,unranked_static_distance_unavailable,,Unranked,,0.05200000246986747,0.12700000603217632,0.3570000169565901,0.740000035148114,,,,unknown_from_static_bytecode,,,False,True,high,256,257,01B8,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
017,Cassandra,unresolved,unranked_static_distance_unavailable,,Unranked,,0.1830000086920336,0.35400001681409776,0.5480000260286033,0.8450000401353464,,,,unknown_from_static_bytecode,,,False,True,high,264,265,04B0,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
022,Setsuka,unresolved,unranked_static_distance_unavailable,,Unranked,,0.09600000455975533,0.17300000821705908,0.45900002180133015,0.9210000437451527,,,,unknown_from_static_bytecode,,,False,True,high,317,318,05E9,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
023,Tira,unresolved,unranked_static_distance_unavailable,,Unranked,,0.04000000189989805,0.12300000584218651,0.25800001225434244,0.43200002051889896,,,,unknown_from_static_bytecode,,,False,True,high,257,258,0231,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
024,Zasalamel,unresolved,unranked_static_distance_unavailable,,Unranked,,,,,,,,,unknown_from_static_bytecode,,,False,False,failed,1945,1579,1491,root motion did not decode with high confidence,root motion did not decode with high confidence; motion section is smaller than 0x20 bytes; not ranked because route trust or root motion confidence is insufficient
028,Hilde,unresolved,unranked_static_distance_unavailable,,Unranked,,0.31900001515168697,0.6500000308733433,0.7620000361930579,0.7010000332957134,,,,unknown_from_static_bytecode,,,False,True,high,292,293,072A,offensive cell: damage-bearing Mid cell has invalid active window 999-999,offensive cell: damage-bearing Mid cell has invalid active window 999-999; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
030,Amy,trusted_basic,rankable_static_distance,21.056,C,0.0,0.0,0.0,0.0,0.0,,,,unknown_from_static_bytecode,,,True,False,high,281,282,0514,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
060,2B,unresolved,unranked_static_distance_unavailable,,Unranked,,0.06600000313483179,0.22500001068692654,0.421000019996427,0.4130000196164474,,,,unknown_from_static_bytecode,,,False,True,high,257,258,035E,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
061,Haohmaru,trusted_basic,rankable_static_distance,21.056,D,0.0,0.0,0.0,0.0,0.0,,,,unknown_from_static_bytecode,,,True,False,high,3124,497,063B,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot; decoded with confirmed channel stream DAT_143e83c00
062,Groh,unresolved,unranked_static_distance_unavailable,,Unranked,,0.0,0.0,0.0,0.0,,,,unknown_from_static_bytecode,,,False,True,high,260,261,0332,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
064,Azwel,unresolved,unranked_static_distance_unavailable,,Unranked,,0.0,0.0,0.0,0.0,,,,unknown_from_static_bytecode,,,False,True,high,256,259,0338,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
065,Geralt,unresolved,unranked_static_distance_unavailable,,Unranked,,0.33400001586414874,0.61600002925843,0.8670000411802903,1.1290000536246225,,,,unknown_from_static_bytecode,,,False,True,high,303,308,0420,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
066,Unknown (cid 066),unresolved,unranked_static_distance_unavailable,,Unranked,,0.06300000299233943,0.15100000717211515,0.26000001234933734,0.3570000169565901,,,,unknown_from_static_bytecode,,,False,True,high,257,258,0185,offensive cells exist and no static return/recovery frame is known,offensive cells exist and no static return/recovery frame is known; decoded with confirmed channel stream DAT_143e83c00; not ranked because route trust or root motion confidence is insufficient
