cid,character,movement_type,route_kind,quality_status,quality_score,quality_grade,distance_f4,distance_f8,distance_f12,distance_f16,total_distance,peak_distance,first_movement_frame,first_frame_8_units,first_frame_16_units,first_frame_30_units,earliest_guard_or_neutral_frame,earliest_attack_cancel_frame,recovery_trust_status,recovery_trust_confidence,plain_movement,has_attack_cell,root_decode_confidence,selection_reason,reason
002,Seong Mi-na,forward_diagonal,unresolved,unranked,,Unranked,0.06113100976587872,0.11992081289801919,0.1621141650089871,0.33811981731376306,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
002,Seong Mi-na,forward_step_candidate,unresolved,unranked,,Unranked,0.08800000417977571,0.12400000588968396,0.1560000074096024,0.22500001068692654,,,0,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
002,Seong Mi-na,sidestep_down_candidate,trusted_basic,rankable_static_distance,59.291,B,0.0020000000949949026,0.007000000332482159,0.03600000170990825,0.07300000346731395,0.4420000209938735,0.4420000209938735,9,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
002,Seong Mi-na,sidestep_up_candidate,unresolved,unranked,,Unranked,0.0,0.0,0.0,0.0,,,,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
003,Taki,back_diagonal,trusted_basic,rankable_static_distance,59.667,B,0.144000006839633,0.3180000151041895,0.44500002113636583,0.4870000231312588,0.49200002336874604,0.49200002336874604,1,,,,,,unknown_from_static_bytecode,unknown,True,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,backstep_candidate,unresolved,unranked,,Unranked,0.1110000052722171,0.25800001225434244,0.4150000197114423,0.6350000301608816,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
003,Taki,eight_way_or_ambiguous,measured_but_not_basic,unranked,,Unranked,0.3650000173365697,0.6580007911313397,0.9150137045610214,1.1000655048484678,,,0,,,,,,unknown_from_static_bytecode,unknown,False,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; source is not proven neutral or stance-root basic movement; unranked unless route is trusted basic movement and root motion is decoded with high confidence
003,Taki,forward_diagonal,trusted_basic,rankable_static_distance,75.037,A,0.26600001263432205,0.6260000297334045,1.02800004882738,1.4110000670189038,2.632000125013292,2.632000125013292,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,forward_step_candidate,unresolved,unranked,,Unranked,0.03300000156741589,0.10300000489223748,0.25800001225434244,0.44700002123136073,,,2,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
003,Taki,sidestep_down_candidate,trusted_basic,rankable_static_distance,65.912,A,0.007000000332482159,0.021000000997446477,0.0390000018524006,0.05600000265985727,0.0800000037997961,0.0800000037997961,5,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
003,Taki,sidestep_up_candidate,unresolved,unranked,,Unranked,0.0720000034198165,0.007000000332482159,0.09800000465475023,0.16300000774208456,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
004,Maxi,back_diagonal,unresolved,unranked,,Unranked,0.1540000073146075,0.2810000133467838,0.3990012720824068,0.5090039534343077,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
004,Maxi,backstep_candidate,trusted_basic,rankable_static_distance,45.725,B,0.04800000227987766,0.06600000313483179,0.025000001187436283,0.011000000522471964,0.06900000327732414,0.06900000327732414,1,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,eight_way_or_ambiguous,trusted_basic,rankable_static_distance,32.689,C,0.12264176054190662,0.2546625338770989,0.40478761785064543,0.5321353464105887,0.6690000317757949,0.6690000317757949,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,forward_diagonal,unresolved,unranked,,Unranked,0.11400000541470945,0.1170000055572018,0.06400000303983688,0.10500000498723239,,,0,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
004,Maxi,forward_step_candidate,unresolved,unranked,,Unranked,0.0,0.0,0.0,0.0,,,33,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
004,Maxi,sidestep_down_candidate,trusted_basic,rankable_static_distance,40.958,B,0.0020000000949949026,0.00800000037997961,0.01500000071246177,0.02300000109244138,0.04000000189989805,0.04000000189989805,9,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
004,Maxi,sidestep_up_candidate,unresolved,unranked,,Unranked,0.00800000037997961,0.020000000949949026,0.08500000403728336,0.1870000088820234,,,2,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
005,Voldo,back_diagonal,measured_but_not_basic,unranked,,Unranked,0.0,0.0,0.0,0.0,,,,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; source is not proven neutral or stance-root basic movement; unranked unless route is trusted basic movement and root motion is decoded with high confidence
005,Voldo,backstep_candidate,unresolved,unranked,,Unranked,0.07300000346731395,0.24800001177936792,0.6130000291159377,1.110000052722171,,,1,,,,,,unknown_from_static_bytecode,unknown,False,True,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; offensive cells exist and no static return/recovery frame is known; unranked unless route is trusted basic movement and root motion is decoded with high confidence
005,Voldo,eight_way_or_ambiguous,trusted_basic,rankable_static_distance,27.442,C,0.07100000337231904,0.11600000550970435,0.16800000797957182,0.2220000105444342,0.43200002051889896,0.43200002051889896,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,forward_diagonal,trusted_basic,rankable_static_distance,55.037,B,0.2149814047548753,0.4362316105893066,0.6112094857640149,0.7164586860120544,1.1070000525796786,1.1070000525796786,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to diagonal movement; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,forward_step_candidate,trusted_basic,rankable_static_distance,56.389,B,0.019000000902451575,0.06600000313483179,0.17400000826455653,0.35200001671910286,1.74600008293055,1.74600008293055,3,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,sidestep_down_candidate,trusted_basic,rankable_static_distance,57.593,B,0.0050000002374872565,0.01500000071246177,0.026000001234933734,0.03800000180490315,0.05900000280234963,0.05900000280234963,6,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
005,Voldo,sidestep_up_candidate,trusted_basic,rankable_static_distance,20.5,C,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,back_diagonal,unresolved,unknown_no_static_route,,Unranked,,,,,,,,,,,,,unknown_from_static_bytecode,unknown,False,False,unknown,no direction-gated route found for this movement type,no direction-gated route found for this movement type
006,Sophitia,backstep_candidate,trusted_basic,rankable_static_distance,72.577,A,0.006000000284984708,0.5020000238437206,0.9430000447900966,1.1850000562844798,1.5260000724811107,1.5260000724811107,1,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,eight_way_or_ambiguous,trusted_basic,rankable_static_distance,64.232,A,0.3143405945569973,0.5745015503488727,0.8162212097754018,1.019159015399355,1.2090500977477079,1.2090500977477079,0,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate is directional but ambiguous; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
006,Sophitia,forward_diagonal,unresolved,unknown_no_static_route,,Unranked,,,,,,,,,,,,,unknown_from_static_bytecode,unknown,False,False,unknown,no direction-gated route found for this movement type,no direction-gated route found for this movement type
006,Sophitia,forward_step_candidate,trusted_basic,rankable_static_distance,66.0,B,0.006000000284984708,0.5020000238437206,0.9430000447900966,1.1850000562844798,1.5260000724811107,1.5260000724811107,1,,,,,,unknown_from_static_bytecode,unknown,True,False,high,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty; decoded with confirmed channel stream DAT_143e83c00; direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
